编号	日期	账户	推广计划	消耗	点击均价	点击数	展示数	点击率	有消耗词量
47	2021-01-05	liubaoxin@cmcm.com	第三方软件-钉钉电脑版	1522.50	0.58	2637	18834	14.00%	43
48	2021-01-05	liubaoxin@cmcm.com	第三方软件-cctalk	12.60	0.45	28	734	3.81%	4
49	2021-01-05	liubaoxin@cmcm.com	第三方软件-小鱼易连	88.65	0.49	181	752	24.07%	8
50	2021-01-05	liubaoxin@cmcm.com	第三方软件-猿辅导	69.63	0.46	153	761	20.11%	14
51	2021-01-05	liubaoxin@cmcm.com	第三方软件-植物大战僵尸	300.44	0.44	686	5276	13.00%	10
52	2021-01-05	liubaoxin@cmcm.com	第三方软件-企业微信	106.52	0.50	211	4738	4.45%	15
53	2021-01-05	liubaoxin@cmcm.com	第三方软件-WPS-ppt	179.70	0.45	400	1776	22.52%	20
54	2021-01-05	liubaoxin@cmcm.com	第三方软件-WPS-word	574.67	0.45	1278	10146	12.60%	85
55	2021-01-05	liubaoxin@cmcm.com	第三方软件-全民K歌	243.10	0.44	548	4000	13.70%	14
56	2021-01-05	liubaoxin@cmcm.com	第三方软件-QQ五笔	5.85	0.45	13	321	4.05%	3
57	2021-01-05	liubaoxin@cmcm.com	第三方软件-QQ拼音	13.89	0.48	29	1924	1.51%	7
58	2021-01-05	liubaoxin@cmcm.com	第三方软件-QQ音乐	2.10	0.42	5	197	2.54%	4
59	2021-01-05	liubaoxin@cmcm.com	第三方软件-阿里旺旺	238.61	0.49	490	3561	13.76%	20
60	2021-01-05	liubaoxin@cmcm.com	第三方软件-PDF	168.93	0.55	305	5082	6.00%	47
61	2021-01-05	liubaoxin@cmcm.com	第三方软件-Adobe Reader	79.54	0.45	176	947	18.59%	13
62	2021-01-05	liubaoxin@cmcm.com	第三方软件-CorelDRAW	12.15	0.45	27	213	12.68%	5
63	2021-01-05	liubaoxin@cmcm.com	第三方软件-WPS	3469.28	0.56	6218	31131	19.97%	150
64	2021-01-05	liubaoxin@cmcm.com	第三方软件-极品五笔输入法	85.26	0.48	178	986	18.05%	18
65	2021-01-05	liubaoxin@cmcm.com	第三方软件-分区助手	25.37	0.45	57	1513	3.77%	7
66	2021-01-05	liubaoxin@cmcm.com	第三方软件-QQ影音	24.09	0.45	53	2454	2.16%	5
67	2021-01-05	liubaoxin@cmcm.com	第三方软件-网易云音乐	1196.92	0.48	2496	49123	5.08%	21
68	2021-01-05	liubaoxin@cmcm.com	第三方软件-千牛	428.41	0.47	915	3474	26.34%	33
69	2021-01-05	liubaoxin@cmcm.com	第三方软件-光影魔术手	127.88	0.54	235	1476	15.92%	11
70	2021-01-05	liubaoxin@cmcm.com	第三方软件-狸窝全能视频转换器	11.70	0.45	26	91	28.57%	3
71	2021-01-05	liubaoxin@cmcm.com	第三方软件-万能五笔	934.42	0.54	1732	10582	16.37%	64
72	2021-01-05	liubaoxin@cmcm.com	第三方软件-驾考宝典	51.75	0.45	115	1647	6.98%	4
73	2021-01-05	liubaoxin@cmcm.com	第三方软件-CAJViewer	208.69	0.49	430	3157	13.62%	28
74	2021-01-05	liubaoxin@cmcm.com	第三方软件-猎豹免费WIFI	29.90	0.49	61	1797	3.39%	12
75	2021-01-05	liubaoxin@cmcm.com	第三方软件-酷狗音乐	544.13	0.48	1127	17871	6.31%	33
76	2021-01-05	liubaoxin@cmcm.com	第三方软件-逍遥笔手写输入法	30.88	0.55	56	419	13.37%	8
77	2021-01-05	liubaoxin@cmcm.com	第三方软件-比特精灵	4.95	0.45	11	209	5.26%	2
78	2021-01-05	liubaoxin@cmcm.com	第三方软件-QQ	795.38	0.54	1471	24762	5.94%	60
79	2021-01-05	liubaoxin@cmcm.com	第三方软件-rar解压软件	771.10	0.52	1484	19545	7.59%	113
80	2021-01-05	liubaoxin@cmcm.com	第三方软件-teamviewer	52.17	0.46	113	3035	3.72%	12
81	2021-01-05	liubaoxin@cmcm.com	第三方软件-驱动精灵	1238.65	0.58	2149	17070	12.59%	16
82	2021-01-05	liubaoxin@cmcm.com	第三方软件-新微信PC版	7775.07	0.67	11615	78318	14.83%	97
83	2021-01-05	liubaoxin@cmcm.com	第三方软件-爱剪辑	93.15	0.45	207	1001	20.68%	14
84	2021-01-05	liubaoxin@cmcm.com	第三方软件-photoshopcs6	361.57	0.49	744	9344	7.96%	89
85	2021-01-05	liubaoxin@cmcm.com	第三方软件-美图秀秀	206.10	0.45	458	12899	3.55%	12
86	2021-01-05	liubaoxin@cmcm.com	第三方软件-WPS-excel	148.45	0.45	330	6031	5.47%	49
87	2021-01-05	liubaoxin@cmcm.com	第三方软件-新酷我音乐	311.95	0.49	634	4309	14.71%	14
88	2021-01-05	liubaoxin@cmcm.com	公司软件-猎豹浏览器	235.32	0.45	524	10277	5.10%	35
89	2021-01-05	liubaoxin@cmcm.com	第三方软件-腾讯视频	23.85	0.45	53	6571	0.81%	15
90	2021-01-05	liubaoxin@cmcm.com	第三方软件-王者荣耀PC版	60.75	0.45	135	9071	1.49%	6
91	2021-01-05	liubaoxin@cmcm.com	第三方软件-Microsoft Visio	33.75	0.45	75	1575	4.76%	32
92	2021-01-05	liubaoxin@cmcm.com	第三方软件-一键ROOT大师	67.05	0.45	149	1466	10.16%	12
93	2021-01-05	liubaoxin@cmcm.com	第三方软件-暴风影音	317.63	0.46	691	3945	17.52%	18
94	2021-01-05	liubaoxin@cmcm.com	公司软件-金山打字通	124.20	0.54	230	1381	16.65%	20
95	2021-01-05	liubaoxin@cmcm.com	第三方软件-火狐浏览器	983.35	0.55	1791	8074	22.18%	30
96	2021-01-05	liubaoxin@cmcm.com	第三方软件-谷歌浏览器	1378.46	0.59	2327	33001	7.05%	76
97	2021-01-05	liubaoxin@cmcm.com	第三方软件-itunes	13.95	0.45	31	997	3.11%	9
98	2021-01-05	liubaoxin@cmcm.com	第三方软件-FlashPlayer	505.65	0.45	1123	7896	14.22%	35
99	2021-01-05	liubaoxin@cmcm.com	第三方软件-WPS2019	24.75	0.45	55	250	22.00%	9
