编号,日期,账户,推广计划,消耗,点击均价,点击数,展示数,点击率,有消耗词量
27,2021-01-05,ruri38@sina.com,壁纸-布朗熊,0.90,0.45,2,20,10.00%,2
28,2021-01-05,ruri38@sina.com,壁纸-小林家的龙女仆,0.45,0.45,1,6,16.67%,1
29,2021-01-05,ruri38@sina.com,壁纸-天行九歌壁纸,4.50,0.45,10,72,13.89%,6
30,2021-01-05,ruri38@sina.com,壁纸-千与千寻,0.45,0.45,1,33,3.03%,1
31,2021-01-05,ruri38@sina.com,壁纸-EVA,1.35,0.45,3,26,11.54%,3
32,2021-01-05,ruri38@sina.com,壁纸-DNF壁纸,6.30,0.45,14,100,14.00%,2
33,2021-01-05,ruri38@sina.com,壁纸-C罗壁纸,0.45,0.45,1,14,7.14%,1
34,2021-01-05,ruri38@sina.com,壁纸-CF,0.90,0.45,2,24,8.33%,1
35,2021-01-05,ruri38@sina.com,壁纸-ins风,2.70,0.45,6,68,8.82%,5
36,2021-01-05,ruri38@sina.com,壁纸-行业词,1391.61,0.48,2909,25899,11.23%,110
37,2021-01-05,ruri38@sina.com,壁纸-哪吒壁纸,0.45,0.45,1,33,3.03%,1
38,2021-01-05,ruri38@sina.com,壁纸-小黄人,1.35,0.45,3,55,5.45%,3
39,2021-01-05,ruri38@sina.com,壁纸-美食,0.90,0.45,2,12,16.67%,1
40,2021-01-05,ruri38@sina.com,壁纸-锦鲤壁纸,0.45,0.45,1,8,12.50%,1
41,2021-01-05,ruri38@sina.com,壁纸-爱情,0.90,0.45,2,6,33.33%,2
42,2021-01-05,ruri38@sina.com,壁纸-搞怪搞笑,2.25,0.45,5,67,7.46%,4
43,2021-01-05,ruri38@sina.com,壁纸-路人女主养成方法,2.25,0.45,5,87,5.75%,3
44,2021-01-05,ruri38@sina.com,壁纸-愤怒的小鸟,0.45,0.45,1,2,50.00%,1
45,2021-01-05,ruri38@sina.com,壁纸-插画,6.30,0.45,14,521,2.69%,3
46,2021-01-05,ruri38@sina.com,壁纸-城市,0.90,0.45,2,15,13.33%,2
47,2021-01-05,ruri38@sina.com,壁纸-狗狗,0.90,0.45,2,57,3.51%,2
48,2021-01-05,ruri38@sina.com,壁纸-大海,1.80,0.45,4,54,7.41%,4
49,2021-01-05,ruri38@sina.com,壁纸-阿狸,5.40,0.45,12,48,25.00%,2
50,2021-01-05,ruri38@sina.com,壁纸-夏目友人帐,1.35,0.45,3,194,1.55%,2
51,2021-01-05,ruri38@sina.com,壁纸-七龙珠壁纸,4.50,0.45,10,341,2.93%,7
52,2021-01-05,ruri38@sina.com,壁纸-哆啦a梦,2.43,0.41,6,269,2.23%,4
53,2021-01-05,ruri38@sina.com,壁纸-柯南,2.07,0.41,5,77,6.49%,3
54,2021-01-05,ruri38@sina.com,壁纸-紫罗兰永恒花园,0.90,0.45,2,30,6.67%,1
55,2021-01-05,ruri38@sina.com,壁纸-自然景观,8.10,0.45,18,248,7.26%,4
56,2021-01-05,ruri38@sina.com,壁纸-唯美,41.39,0.45,92,899,10.23%,6
57,2021-01-05,ruri38@sina.com,壁纸-皮卡丘,1.80,0.45,4,77,5.19%,2
58,2021-01-05,ruri38@sina.com,壁纸-龙猫壁纸,2.70,0.45,6,71,8.45%,5
59,2021-01-05,ruri38@sina.com,壁纸-02壁纸,7.46,0.47,16,255,6.27%,7
60,2021-01-05,ruri38@sina.com,壁纸-篮球,6.75,0.45,15,304,4.93%,5
61,2021-01-05,ruri38@sina.com,壁纸-刺客伍六七,3.15,0.45,7,43,16.28%,5
62,2021-01-05,ruri38@sina.com,壁纸-宇宙,0.45,0.45,1,19,5.26%,1
63,2021-01-05,ruri38@sina.com,壁纸-猫,0.90,0.45,2,64,3.13%,1
64,2021-01-05,ruri38@sina.com,壁纸-高达壁纸,0.90,0.45,2,12,16.67%,2
65,2021-01-05,ruri38@sina.com,壁纸-JOJO,2.70,0.45,6,46,13.04%,3
66,2021-01-05,ruri38@sina.com,壁纸-汽车,10.27,0.45,23,245,9.39%,13
67,2021-01-05,ruri38@sina.com,壁纸-天气之子,2.80,0.47,6,92,6.52%,3
68,2021-01-05,ruri38@sina.com,壁纸-游戏,3.76,0.47,8,88,9.09%,6
69,2021-01-05,ruri38@sina.com,壁纸-竞品软件,223.15,0.47,479,5619,8.52%,48
70,2021-01-05,ruri38@sina.com,壁纸-科幻,4.50,0.45,10,57,17.54%,5
71,2021-01-05,ruri38@sina.com,壁纸-海洋,0.45,0.45,1,10,10.00%,1
72,2021-01-05,ruri38@sina.com,壁纸-星球大战,0.45,0.45,1,4,25.00%,1
73,2021-01-05,ruri38@sina.com,壁纸-尼尔机械纪元,0.45,0.45,1,33,3.03%,1
74,2021-01-05,ruri38@sina.com,壁纸-古风壁纸,3.76,0.47,8,96,8.33%,3
75,2021-01-05,ruri38@sina.com,壁纸-漫威,4.68,0.47,10,433,2.31%,8
76,2021-01-05,ruri38@sina.com,壁纸-卡通壁纸,4.50,0.45,10,85,11.76%,4
77,2021-01-05,ruri38@sina.com,壁纸-明日方舟,4.15,0.46,9,1414,0.64%,5
78,2021-01-05,ruri38@sina.com,壁纸-win壁纸,42.80,0.47,92,872,10.55%,36
79,2021-01-05,ruri38@sina.com,壁纸-简约,47.25,0.45,105,594,17.68%,5
80,2021-01-05,ruri38@sina.com,壁纸-绿色护眼,10.35,0.45,23,461,4.99%,15
81,2021-01-05,ruri38@sina.com,壁纸-壁纸少女心,9.72,0.44,22,216,10.19%,5
82,2021-01-05,ruri38@sina.com,壁纸-你的名字,11.12,0.46,24,356,6.74%,6
83,2021-01-05,ruri38@sina.com,壁纸-小清新,8.55,0.45,19,228,8.33%,7
84,2021-01-05,ruri38@sina.com,壁纸-4K,173.58,0.47,372,2885,12.89%,21
85,2021-01-05,ruri38@sina.com,壁纸-fate,2.82,0.47,6,51,11.76%,4
86,2021-01-05,ruri38@sina.com,壁纸-王者,16.29,0.47,35,767,4.56%,4
87,2021-01-05,ruri38@sina.com,壁纸-星空,18.00,0.45,40,528,7.58%,11
88,2021-01-05,ruri38@sina.com,壁纸-火影,47.84,0.47,102,971,10.50%,11
89,2021-01-05,ruri38@sina.com,壁纸-海贼王,85.73,0.47,183,1748,10.47%,29
90,2021-01-05,ruri38@sina.com,壁纸-二次元动漫,114.17,0.47,245,2625,9.33%,46
91,2021-01-05,ruri38@sina.com,壁纸-初音未来,2.25,0.45,5,76,6.58%,4
92,2021-01-05,ruri38@sina.com,壁纸-动物,1.35,0.45,3,36,8.33%,3
93,2021-01-05,ruri38@sina.com,壁纸-蕾姆壁纸,0.94,0.47,2,60,3.33%,2
94,2021-01-05,ruri38@sina.com,壁纸-鬼灭之刃,19.09,0.47,41,367,11.17%,5
95,2021-01-05,ruri38@sina.com,壁纸-鬼刀,28.47,0.46,62,661,9.38%,17
96,2021-01-05,ruri38@sina.com,公司软件-壁纸-英雄联盟,25.52,0.46,56,461,12.15%,16
97,2021-01-05,ruri38@sina.com,公司软件-壁纸-动漫,125.91,0.46,274,2339,11.71%,26
98,2021-01-05,ruri38@sina.com,公司软件-壁纸-美女,18.93,0.46,41,794,5.16%,10
99,2021-01-05,ruri38@sina.com,公司软件-电脑壁纸3,1165.04,0.46,2523,17555,14.37%,62
100,2021-01-05,ruri38@sina.com,公司软件-电脑桌面9,55.78,0.46,122,1716,7.11%,3
101,2021-01-05,ruri38@sina.com,公司软件-桌面壁纸4,798.15,0.47,1709,12437,13.74%,38
102,2021-01-05,ruri38@sina.com,公司软件-壁纸软件7,187.98,0.47,404,2880,14.03%,43
103,2021-01-05,ruri38@sina.com,公司软件-电脑桌面壁纸10,314.53,0.47,671,4812,13.94%,22
104,2021-01-05,ruri38@sina.com,公司软件-动态桌面8,160.17,0.47,343,1359,25.24%,9
105,2021-01-05,ruri38@sina.com,公司软件-动态壁纸1,291.99,0.50,588,3587,16.39%,34
106,2021-01-05,ruri38@sina.com,公司软件-高清壁纸5,631.21,0.47,1351,8181,16.51%,17
