编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
114,2020-12-29,ruri38@sina.com,壁纸-皮卡丘,2,1,0.45,50.00%,0.45,1
115,2020-12-29,ruri38@sina.com,壁纸-CF,38,3,1.35,7.89%,0.45,1
116,2020-12-29,ruri38@sina.com,壁纸-文字,69,3,1.35,4.35%,0.45,2
117,2020-12-29,ruri38@sina.com,壁纸-鬼灭之刃,505,44,20.38,8.71%,0.46,7
118,2020-12-29,ruri38@sina.com,壁纸-美食,3,1,0.45,33.33%,0.45,1
119,2020-12-29,ruri38@sina.com,壁纸-时钟,559,37,16.65,6.62%,0.45,19
120,2020-12-29,ruri38@sina.com,壁纸-王者,584,29,13.57,4.97%,0.47,5
121,2020-12-29,ruri38@sina.com,公司软件-动态壁纸1,4474,678,335.36,15.15%,0.49,32
122,2020-12-29,ruri38@sina.com,壁纸-一人之下壁纸,50,4,1.80,8.00%,0.45,2
123,2020-12-29,ruri38@sina.com,壁纸-小林家的龙女仆,2,1,0.45,50.00%,0.45,1
124,2020-12-29,ruri38@sina.com,壁纸-古风壁纸,178,14,6.48,7.87%,0.46,7
125,2020-12-29,ruri38@sina.com,公司软件-动态桌面8,1758,398,186.29,22.64%,0.47,11
126,2020-12-29,ruri38@sina.com,壁纸-唯美,1325,100,45.00,7.55%,0.45,10
127,2020-12-29,ruri38@sina.com,壁纸-星空,729,47,21.15,6.45%,0.45,14
128,2020-12-29,ruri38@sina.com,壁纸-ins风,32,3,1.35,9.38%,0.45,3
129,2020-12-29,ruri38@sina.com,壁纸-动态壁纸制作,120,20,9.00,16.67%,0.45,13
130,2020-12-29,ruri38@sina.com,壁纸-行业词,26328,3082,1478.10,11.71%,0.48,119
131,2020-12-29,ruri38@sina.com,壁纸-熊猫,28,1,0.45,3.57%,0.45,1
132,2020-12-29,ruri38@sina.com,壁纸-桌面整理,808,44,20.14,5.45%,0.46,10
133,2020-12-29,ruri38@sina.com,壁纸-竞品软件,5531,501,233.51,9.06%,0.47,46
134,2020-12-29,ruri38@sina.com,壁纸-大海,31,8,3.60,25.81%,0.45,4
135,2020-12-29,ruri38@sina.com,壁纸-漫威,389,8,3.72,2.06%,0.47,5
136,2020-12-29,ruri38@sina.com,壁纸-美少女战士,89,7,3.15,7.87%,0.45,3
137,2020-12-29,ruri38@sina.com,壁纸-布朗熊,18,3,1.35,16.67%,0.45,3
138,2020-12-29,ruri38@sina.com,壁纸-鬼刀,772,73,33.30,9.46%,0.46,19
139,2020-12-29,ruri38@sina.com,壁纸-自然景观,319,24,10.80,7.52%,0.45,5
140,2020-12-29,ruri38@sina.com,壁纸-火影,981,93,43.57,9.48%,0.47,22
141,2020-12-29,ruri38@sina.com,壁纸-小黄人,65,6,2.70,9.23%,0.45,2
142,2020-12-29,ruri38@sina.com,壁纸-温馨壁纸,6,1,0.45,16.67%,0.45,1
143,2020-12-29,ruri38@sina.com,壁纸-游戏,89,7,3.25,7.87%,0.46,5
144,2020-12-29,ruri38@sina.com,壁纸-小埋壁纸,2,1,0.45,50.00%,0.45,1
145,2020-12-29,ruri38@sina.com,壁纸-卡通壁纸,69,5,2.25,7.25%,0.45,1
146,2020-12-29,ruri38@sina.com,壁纸-灵魂莲华,18,1,0.45,5.56%,0.45,1
147,2020-12-29,ruri38@sina.com,壁纸-海贼王,1523,188,88.16,12.34%,0.47,35
148,2020-12-29,ruri38@sina.com,壁纸-言叶之庭,14,1,0.45,7.14%,0.45,1
149,2020-12-29,ruri38@sina.com,壁纸-天行九歌壁纸,28,4,1.80,14.29%,0.45,2
150,2020-12-29,ruri38@sina.com,壁纸-明日方舟,645,9,4.17,1.40%,0.46,3
151,2020-12-29,ruri38@sina.com,壁纸-天气之子,224,10,4.62,4.46%,0.46,2
152,2020-12-29,ruri38@sina.com,壁纸-二次元动漫,3079,284,132.66,9.22%,0.47,51
153,2020-12-29,ruri38@sina.com,壁纸-win壁纸,931,96,44.78,10.31%,0.47,33
154,2020-12-29,ruri38@sina.com,壁纸-汽车,227,23,10.35,10.13%,0.45,10
155,2020-12-29,ruri38@sina.com,壁纸-城市,8,3,1.35,37.50%,0.45,2
156,2020-12-29,ruri38@sina.com,壁纸-哈利波特,2,1,0.45,50.00%,0.45,1
157,2020-12-29,ruri38@sina.com,壁纸-初音未来,86,5,2.25,5.81%,0.45,3
158,2020-12-29,ruri38@sina.com,公司软件-动态壁纸,3679,1335,586.26,36.29%,0.44,3
159,2020-12-29,ruri38@sina.com,壁纸-鼠标,659,79,34.72,11.99%,0.44,22
160,2020-12-29,ruri38@sina.com,壁纸-简约,817,170,76.50,20.81%,0.45,6
161,2020-12-29,ruri38@sina.com,公司软件-壁纸-动漫,2787,308,140.80,11.05%,0.46,27
162,2020-12-29,ruri38@sina.com,壁纸-动物,6,2,0.90,33.33%,0.45,2
163,2020-12-29,ruri38@sina.com,壁纸-JOJO,64,2,0.90,3.13%,0.45,1
164,2020-12-29,ruri38@sina.com,壁纸-男生壁纸,17,3,1.41,17.65%,0.47,3
165,2020-12-29,ruri38@sina.com,壁纸-千与千寻,16,2,0.90,12.50%,0.45,2
166,2020-12-29,ruri38@sina.com,壁纸-咱们裸熊,2,1,0.45,50.00%,0.45,1
167,2020-12-29,ruri38@sina.com,壁纸-绿色护眼,269,20,9.00,7.43%,0.45,13
168,2020-12-29,ruri38@sina.com,壁纸-高达壁纸,86,8,3.60,9.30%,0.45,6
169,2020-12-29,ruri38@sina.com,公司软件-壁纸-萌宠,21,3,1.41,14.29%,0.47,2
170,2020-12-29,ruri38@sina.com,壁纸-插画,470,11,4.95,2.34%,0.45,4
171,2020-12-29,ruri38@sina.com,壁纸-柯南,37,6,2.70,16.22%,0.45,2
172,2020-12-29,ruri38@sina.com,壁纸-锁屏壁纸,1986,97,45.35,4.88%,0.47,19
173,2020-12-29,ruri38@sina.com,壁纸-魔道祖师,6,2,0.90,33.33%,0.45,2
174,2020-12-29,ruri38@sina.com,壁纸-少女,6,2,0.90,33.33%,0.45,1
175,2020-12-29,ruri38@sina.com,壁纸-哆啦a梦,269,17,7.56,6.32%,0.44,5
176,2020-12-29,ruri38@sina.com,壁纸-猫,87,4,1.80,4.60%,0.45,4
177,2020-12-29,ruri38@sina.com,公司软件-壁纸-美女,764,46,21.14,6.02%,0.46,6
178,2020-12-29,ruri38@sina.com,壁纸-壁纸少女心,227,19,8.55,8.37%,0.45,7
179,2020-12-29,ruri38@sina.com,公司软件-电脑桌面壁纸10,4974,693,324.75,13.93%,0.47,21
180,2020-12-29,ruri38@sina.com,壁纸-七龙珠壁纸,289,10,4.50,3.46%,0.45,3
181,2020-12-29,ruri38@sina.com,壁纸-只狼壁纸,39,4,1.80,10.26%,0.45,3
182,2020-12-29,ruri38@sina.com,壁纸-天官赐福壁纸,336,16,7.20,4.76%,0.45,7
183,2020-12-29,ruri38@sina.com,壁纸-宇宙,44,4,1.80,9.09%,0.45,3
184,2020-12-29,ruri38@sina.com,壁纸-EVA,14,1,0.45,7.14%,0.45,1
185,2020-12-29,ruri38@sina.com,公司软件-壁纸软件7,2886,441,205.27,15.28%,0.47,42
186,2020-12-29,ruri38@sina.com,壁纸-搞怪搞笑,22,5,2.25,22.73%,0.45,2
187,2020-12-29,ruri38@sina.com,壁纸-musedash的壁纸,70,12,5.40,17.14%,0.45,4
188,2020-12-29,ruri38@sina.com,壁纸-最终幻想,2,1,0.45,50.00%,0.45,1
189,2020-12-29,ruri38@sina.com,壁纸-科幻,28,5,2.25,17.86%,0.45,3
190,2020-12-29,ruri38@sina.com,壁纸-夏目友人帐,185,3,1.35,1.62%,0.45,2
191,2020-12-29,ruri38@sina.com,壁纸-灌篮高手,45,3,1.35,6.67%,0.45,3
192,2020-12-29,ruri38@sina.com,壁纸-一拳超人壁纸,12,1,0.45,8.33%,0.45,1
193,2020-12-29,ruri38@sina.com,壁纸-你的名字,432,28,12.98,6.48%,0.46,10
194,2020-12-29,ruri38@sina.com,壁纸-刺客伍六七,55,2,0.90,3.64%,0.45,2
195,2020-12-29,ruri38@sina.com,壁纸-路人女主养成方法,6,1,0.45,16.67%,0.45,1
196,2020-12-29,ruri38@sina.com,公司软件-桌面壁纸4,12010,1635,763.97,13.61%,0.47,27
197,2020-12-29,ruri38@sina.com,壁纸-爱情,25,2,0.90,8.00%,0.45,1
198,2020-12-29,ruri38@sina.com,壁纸-足球,5,1,0.41,20.00%,0.41,1
199,2020-12-29,ruri38@sina.com,壁纸-海洋,12,2,0.90,16.67%,0.45,2
200,2020-12-29,ruri38@sina.com,壁纸-文艺,8,2,0.90,25.00%,0.45,1
201,2020-12-29,ruri38@sina.com,壁纸-阿狸,70,4,1.80,5.71%,0.45,3
202,2020-12-29,ruri38@sina.com,壁纸-蜡笔小新,171,7,3.15,4.09%,0.45,3
203,2020-12-29,ruri38@sina.com,壁纸-小清新,234,21,9.45,8.97%,0.45,13
204,2020-12-29,ruri38@sina.com,壁纸-银魂,12,4,1.80,33.33%,0.45,2
205,2020-12-29,ruri38@sina.com,壁纸-蕾姆壁纸,72,3,1.41,4.17%,0.47,3
206,2020-12-29,ruri38@sina.com,壁纸-篮球,348,18,8.10,5.17%,0.45,10
207,2020-12-29,ruri38@sina.com,公司软件-电脑桌面9,1581,133,60.89,8.41%,0.46,2
208,2020-12-29,ruri38@sina.com,壁纸-02壁纸,238,27,12.67,11.34%,0.47,5
209,2020-12-29,ruri38@sina.com,壁纸-DNF壁纸,153,20,9.00,13.07%,0.45,2
210,2020-12-29,ruri38@sina.com,壁纸-星球大战,11,1,0.45,9.09%,0.45,1
211,2020-12-29,ruri38@sina.com,壁纸-斗罗大陆,5,2,0.90,40.00%,0.45,1
212,2020-12-29,ruri38@sina.com,壁纸-奥特曼,232,18,8.10,7.76%,0.45,6
213,2020-12-29,ruri38@sina.com,壁纸-4K,2410,298,138.78,12.37%,0.47,25
214,2020-12-29,ruri38@sina.com,公司软件-电脑壁纸3,17617,2480,1145.46,14.08%,0.46,60
215,2020-12-28,ruri38@sina.com,壁纸-龙猫壁纸,30,3,1.35,10.00%,0.45,2
216,2020-12-28,ruri38@sina.com,壁纸-尼尔机械纪元,2,2,0.90,100.00%,0.45,1
217,2020-12-28,ruri38@sina.com,壁纸-我的世界,58,4,1.80,6.90%,0.45,2
218,2020-12-28,ruri38@sina.com,公司软件-壁纸-英雄联盟,554,59,27.00,10.65%,0.46,12
219,2020-12-28,ruri38@sina.com,壁纸-fate,22,4,1.88,18.18%,0.47,1
220,2020-12-28,ruri38@sina.com,壁纸-皮卡丘,60,2,0.90,3.33%,0.45,1
221,2020-12-28,ruri38@sina.com,壁纸-CF,30,2,0.90,6.67%,0.45,1
222,2020-12-28,ruri38@sina.com,公司软件-高清壁纸5,7706,1307,611.15,16.96%,0.47,18
223,2020-12-28,ruri38@sina.com,壁纸-碧蓝航线,24,4,1.88,16.67%,0.47,3
224,2020-12-28,ruri38@sina.com,壁纸-魔法少女小圆,1,1,0.45,100.00%,0.45,1
225,2020-12-28,ruri38@sina.com,壁纸-神奇宝贝,2,1,0.45,50.00%,0.45,1
226,2020-12-28,ruri38@sina.com,壁纸-屏保,1394,80,35.79,5.74%,0.45,17
227,2020-12-28,ruri38@sina.com,壁纸-文字,24,5,2.25,20.83%,0.45,3
228,2020-12-28,ruri38@sina.com,壁纸-鬼灭之刃,384,40,18.62,10.42%,0.47,6
229,2020-12-28,ruri38@sina.com,公司软件-动态壁纸1,4144,640,316.99,15.44%,0.50,30
230,2020-12-28,ruri38@sina.com,壁纸-时钟,496,34,15.29,6.85%,0.45,19
231,2020-12-28,ruri38@sina.com,壁纸-王者,701,26,12.16,3.71%,0.47,5
232,2020-12-28,ruri38@sina.com,壁纸-一人之下壁纸,20,2,0.90,10.00%,0.45,2
233,2020-12-28,ruri38@sina.com,壁纸-古风壁纸,165,8,3.72,4.85%,0.47,6
234,2020-12-28,ruri38@sina.com,壁纸-小林家的龙女仆,8,1,0.45,12.50%,0.45,1
235,2020-12-28,ruri38@sina.com,公司软件-动态桌面8,1716,361,168.95,21.04%,0.47,13
236,2020-12-28,ruri38@sina.com,壁纸-唯美,1262,116,52.20,9.19%,0.45,9
237,2020-12-28,ruri38@sina.com,壁纸-星空,615,44,19.80,7.15%,0.45,14
238,2020-12-28,ruri38@sina.com,壁纸-ins风,68,6,2.70,8.82%,0.45,5
239,2020-12-28,ruri38@sina.com,壁纸-动态壁纸制作,26,7,3.15,26.92%,0.45,5
240,2020-12-28,ruri38@sina.com,壁纸-熊猫,29,1,0.45,3.45%,0.45,1
241,2020-12-28,ruri38@sina.com,壁纸-行业词,26132,2883,1384.05,11.03%,0.48,108
242,2020-12-28,ruri38@sina.com,壁纸-桌面整理,1172,53,24.37,4.52%,0.46,13
243,2020-12-28,ruri38@sina.com,壁纸-竞品软件,5784,491,228.49,8.49%,0.47,47
244,2020-12-28,ruri38@sina.com,壁纸-大海,40,3,1.35,7.50%,0.45,3
245,2020-12-28,ruri38@sina.com,壁纸-美少女战士,74,7,3.15,9.46%,0.45,5
246,2020-12-28,ruri38@sina.com,壁纸-漫威,293,18,8.38,6.14%,0.47,9
247,2020-12-28,ruri38@sina.com,壁纸-鬼刀,589,61,27.76,10.36%,0.46,16
248,2020-12-28,ruri38@sina.com,壁纸-自然景观,228,7,3.15,3.07%,0.45,1
249,2020-12-28,ruri38@sina.com,壁纸-火影,1060,98,45.86,9.25%,0.47,17
250,2020-12-28,ruri38@sina.com,壁纸-小黄人,36,3,1.35,8.33%,0.45,2
251,2020-12-28,ruri38@sina.com,壁纸-游戏,76,10,4.64,13.16%,0.46,6
252,2020-12-28,ruri38@sina.com,壁纸-卡通壁纸,84,5,2.16,5.95%,0.43,2
253,2020-12-28,ruri38@sina.com,壁纸-灵魂莲华,16,3,1.35,18.75%,0.45,2
254,2020-12-28,ruri38@sina.com,壁纸-海贼王,1798,171,80.11,9.51%,0.47,32
255,2020-12-28,ruri38@sina.com,壁纸-言叶之庭,8,2,0.90,25.00%,0.45,1
256,2020-12-28,ruri38@sina.com,壁纸-天行九歌壁纸,119,9,4.05,7.56%,0.45,4
257,2020-12-28,ruri38@sina.com,壁纸-明日方舟,743,6,2.78,0.81%,0.46,4
258,2020-12-28,ruri38@sina.com,壁纸-天气之子,106,5,2.31,4.72%,0.46,2
259,2020-12-28,ruri38@sina.com,壁纸-二次元动漫,2869,256,119.50,8.92%,0.47,47
260,2020-12-28,ruri38@sina.com,壁纸-冰雪奇缘壁纸,4,1,0.45,25.00%,0.45,1
261,2020-12-28,ruri38@sina.com,壁纸-win壁纸,721,77,35.83,10.68%,0.47,29
262,2020-12-28,ruri38@sina.com,壁纸-哈利波特,6,1,0.45,16.67%,0.45,1
263,2020-12-28,ruri38@sina.com,壁纸-汽车,255,13,5.85,5.10%,0.45,8
264,2020-12-28,ruri38@sina.com,壁纸-城市,4,1,0.45,25.00%,0.45,1
265,2020-12-28,ruri38@sina.com,壁纸-初音未来,136,7,3.15,5.15%,0.45,5
266,2020-12-28,ruri38@sina.com,公司软件-动态壁纸,3346,1253,548.28,37.45%,0.44,3
267,2020-12-28,ruri38@sina.com,壁纸-鼠标,578,83,36.73,14.36%,0.44,26
268,2020-12-28,ruri38@sina.com,壁纸-紫罗兰永恒花园,51,1,0.45,1.96%,0.45,1
269,2020-12-28,ruri38@sina.com,壁纸-简约,864,223,100.35,25.81%,0.45,5
270,2020-12-28,ruri38@sina.com,公司软件-壁纸-动漫,2903,276,126.53,9.51%,0.46,30
271,2020-12-28,ruri38@sina.com,壁纸-动物,1,1,0.45,100.00%,0.45,1
272,2020-12-28,ruri38@sina.com,壁纸-男生壁纸,4,2,0.94,50.00%,0.47,2
273,2020-12-28,ruri38@sina.com,壁纸-JOJO,75,5,2.25,6.67%,0.45,3
274,2020-12-28,ruri38@sina.com,壁纸-咱们裸熊,37,1,0.45,2.70%,0.45,1
275,2020-12-28,ruri38@sina.com,公司软件-壁纸-萌宠,12,2,0.94,16.67%,0.47,2
276,2020-12-28,ruri38@sina.com,壁纸-插画,634,15,6.75,2.37%,0.45,3
277,2020-12-28,ruri38@sina.com,壁纸-变形金刚,2,1,0.45,50.00%,0.45,1
278,2020-12-28,ruri38@sina.com,壁纸-绿色护眼,514,17,7.65,3.31%,0.45,13
279,2020-12-28,ruri38@sina.com,壁纸-高达壁纸,53,4,1.80,7.55%,0.45,2
