date,zhanghu,plan,pv,click,cpv,cost,cpc
2020-12-30,ruri38@sina.com,壁纸-布朗熊,0.45,1,2.2222222222222223,22.0,22.0
2020-12-30,ruri38@sina.com,壁纸-小林家的龙女仆,0.45,1,2.2222222222222223,2.0,2.0
2020-12-30,ruri38@sina.com,壁纸-千与千寻,0.45,1,2.2222222222222223,2.0,2.0
2020-12-30,ruri38@sina.com,壁纸-哈利波特,0.45,1,2.2222222222222223,6.0,6.0
2020-12-30,ruri38@sina.com,壁纸-EVA,0.45,1,2.2222222222222223,33.0,33.0
2020-12-30,ruri38@sina.com,壁纸-C罗壁纸,0.45,1,2.2222222222222223,45.0,45.0
2020-12-30,ruri38@sina.com,壁纸-CF,0.9,2,2.2222222222222223,31.0,15.5
2020-12-30,ruri38@sina.com,壁纸-DNF壁纸,8.1,18,2.2222222222222223,188.0,10.444444444444445
2020-12-30,ruri38@sina.com,壁纸-壁纸少女心,9.45,21,2.2222222222222223,255.0,12.142857142857142
2020-12-30,ruri38@sina.com,壁纸-你的名字,12.49,27,2.161729383506805,405.0,15.0
2020-12-30,ruri38@sina.com,壁纸-小清新,7.2,16,2.2222222222222223,165.0,10.3125
2020-12-30,ruri38@sina.com,壁纸-4K,153.64,330,2.1478781567300183,2617.0,7.930303030303031
2020-12-30,ruri38@sina.com,壁纸-fate,4.21,9,2.137767220902613,108.0,12.0
2020-12-30,ruri38@sina.com,壁纸-碧蓝航线,0.47,1,2.127659574468085,34.0,34.0
2020-12-30,ruri38@sina.com,壁纸-王者,14.0,30,2.142857142857143,658.0,21.933333333333334
2020-12-30,ruri38@sina.com,壁纸-漫威,5.15,11,2.1359223300970873,341.0,31.0
2020-12-30,ruri38@sina.com,壁纸-卡通壁纸,4.5,10,2.2222222222222223,90.0,9.0
2020-12-30,ruri38@sina.com,壁纸-明日方舟,2.8,6,2.142857142857143,722.0,120.33333333333333
2020-12-30,ruri38@sina.com,壁纸-win壁纸,42.39,91,2.1467327199811277,763.0,8.384615384615385
2020-12-30,ruri38@sina.com,壁纸-简约,68.4,152,2.222222222222222,704.0,4.631578947368421
2020-12-30,ruri38@sina.com,壁纸-男生壁纸,2.35,5,2.127659574468085,17.0,3.4
2020-12-30,ruri38@sina.com,壁纸-绿色护眼,4.5,10,2.2222222222222223,125.0,12.5
2020-12-30,ruri38@sina.com,壁纸-锁屏壁纸,41.49,89,2.145095203663533,1814.0,20.382022471910112
2020-12-30,ruri38@sina.com,壁纸-星空,26.1,58,2.2222222222222223,727.0,12.53448275862069
2020-12-30,ruri38@sina.com,壁纸-火影,42.08,90,2.1387832699619773,990.0,11.0
2020-12-30,ruri38@sina.com,壁纸-阿丽塔壁纸,0.9,2,2.2222222222222223,4.0,2.0
2020-12-30,ruri38@sina.com,壁纸-海贼王,82.26,176,2.139557500607829,1385.0,7.869318181818182
2020-12-30,ruri38@sina.com,壁纸-ins风,4.05,9,2.2222222222222223,44.0,4.888888888888889
2020-12-30,ruri38@sina.com,壁纸-魔道祖师,1.35,3,2.222222222222222,83.0,27.666666666666668
2020-12-30,ruri38@sina.com,壁纸-二次元动漫,130.36,279,2.140227063516416,2714.0,9.727598566308243
2020-12-30,ruri38@sina.com,壁纸-初音未来,2.7,6,2.222222222222222,108.0,18.0
2020-12-30,ruri38@sina.com,壁纸-动物,1.35,3,2.222222222222222,31.0,10.333333333333334
2020-12-30,ruri38@sina.com,壁纸-行业词,1375.2,2868,2.0855148342059335,24674.0,8.60320781032078
2020-12-30,ruri38@sina.com,公司软件-动态桌面8,172.85,369,2.1347989586346543,1505.0,4.078590785907859
2020-12-30,ruri38@sina.com,公司软件-动态壁纸1,320.68,649,2.0238243732069354,4123.0,6.352850539291217
2020-12-30,ruri38@sina.com,公司软件-高清壁纸5,577.45,1235,2.138713308511559,7335.0,5.939271255060729
2020-12-30,ruri38@sina.com,壁纸-只狼壁纸,1.35,3,2.222222222222222,15.0,5.0
2020-12-30,ruri38@sina.com,壁纸-一人之下壁纸,0.9,2,2.2222222222222223,2.0,1.0
2020-12-30,ruri38@sina.com,壁纸-桌面整理,22.91,50,2.182453077258839,1007.0,20.14
2020-12-30,ruri38@sina.com,公司软件-电脑桌面9,58.67,128,2.181694221919209,1391.0,10.8671875
2020-12-30,ruri38@sina.com,公司软件-桌面壁纸4,708.58,1517,2.140901521352564,11153.0,7.352010547132498
2020-12-30,ruri38@sina.com,公司软件-壁纸软件7,198.45,427,2.1516754850088184,2829.0,6.625292740046838
2020-12-30,ruri38@sina.com,公司软件-电脑桌面壁纸10,313.94,670,2.1341657641587566,4840.0,7.223880597014926
2020-12-30,ruri38@sina.com,壁纸-鼠标,35.25,80,2.269503546099291,635.0,7.9375
2020-12-30,ruri38@sina.com,公司软件-电脑壁纸3,1035.79,2244,2.166462313789475,16492.0,7.349376114081997
2020-12-30,ruri38@sina.com,公司软件-壁纸-美女,25.78,56,2.1722265321955003,780.0,13.928571428571429
2020-12-30,ruri38@sina.com,公司软件-壁纸-英雄联盟,23.43,52,2.219376867264191,580.0,11.153846153846153
2020-12-30,ruri38@sina.com,公司软件-壁纸-动漫,135.92,298,2.192466156562684,2744.0,9.208053691275168
2020-12-30,ruri38@sina.com,壁纸-小黄人,0.9,2,2.2222222222222223,26.0,13.0
2020-12-30,ruri38@sina.com,壁纸-哪吒壁纸,0.45,1,2.2222222222222223,2.0,2.0
2020-12-30,ruri38@sina.com,壁纸-路人女主养成方法,1.35,3,2.222222222222222,71.0,23.666666666666668
2020-12-30,ruri38@sina.com,壁纸-搞怪搞笑,2.25,5,2.2222222222222223,37.0,7.4
2020-12-30,ruri38@sina.com,壁纸-爱情,3.6,8,2.2222222222222223,37.0,4.625
2020-12-30,ruri38@sina.com,壁纸-锦鲤壁纸,0.9,2,2.2222222222222223,45.0,22.5
2020-12-30,ruri38@sina.com,公司软件-动态壁纸,591.84,1345,2.27257366855907,3462.0,2.573977695167286
