编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
119,2021-01-09,ruri38@sina.com,壁纸-七龙珠壁纸,541,6,2.70,1.1100000000000000976996261670137755572795867919921875%,0.45,3
120,2021-01-09,ruri38@sina.com,公司软件-壁纸-美女,594,38,17.62,6.4000000000000003552713678800500929355621337890625%,0.46,7
121,2021-01-09,ruri38@sina.com,壁纸-卡通壁纸,67,8,3.60,11.9399999999999995026200849679298698902130126953125%,0.45,2
122,2021-01-09,ruri38@sina.com,壁纸-布朗熊,4,1,0.45,25%,0.45,1
123,2021-01-09,ruri38@sina.com,壁纸-宇宙,28,2,0.90,7.13999999999999968025576890795491635799407958984375%,0.45,1
124,2021-01-09,ruri38@sina.com,壁纸-火影,992,91,42.65,9.1699999999999999289457264239899814128875732421875%,0.47,12
125,2021-01-09,ruri38@sina.com,壁纸-熊猫,8,1,0.45,12.5%,0.45,1
126,2021-01-09,ruri38@sina.com,壁纸-鬼刀,466,64,29.61,13.730000000000000426325641456060111522674560546875%,0.46,15
127,2021-01-09,ruri38@sina.com,壁纸-哆啦a梦,116,7,3.15,6.03000000000000024868995751603506505489349365234375%,0.45,3
128,2021-01-09,ruri38@sina.com,壁纸-漫威,661,13,6.00,1.9699999999999999733546474089962430298328399658203125%,0.46,7
129,2021-01-09,ruri38@sina.com,壁纸-我的世界,183,4,1.80,2.189999999999999946709294817992486059665679931640625%,0.45,2
130,2021-01-09,ruri38@sina.com,壁纸-行业词,22331,2734,1307.59,12.2400000000000002131628207280300557613372802734375%,0.48,116
131,2021-01-09,ruri38@sina.com,壁纸-猫,30,3,1.35,10%,0.45,2
132,2021-01-09,ruri38@sina.com,壁纸-桌面整理,601,43,19.80,7.1500000000000003552713678800500929355621337890625%,0.46,11
133,2021-01-09,ruri38@sina.com,壁纸-星空,586,69,31.05,11.769999999999999573674358543939888477325439453125%,0.45,19
134,2021-01-09,ruri38@sina.com,壁纸-百变小樱,30,1,0.45,3.3300000000000000710542735760100185871124267578125%,0.45,1
135,2021-01-09,ruri38@sina.com,壁纸-变形金刚,2,1,0.45,50%,0.45,1
136,2021-01-09,ruri38@sina.com,壁纸-柯南,44,6,2.43,13.6400000000000005684341886080801486968994140625%,0.41,1
137,2021-01-09,ruri38@sina.com,壁纸-win壁纸,1085,123,57.07,11.339999999999999857891452847979962825775146484375%,0.46,46
138,2021-01-09,ruri38@sina.com,公司软件-高清壁纸5,6797,1130,528.38,16.620000000000000994759830064140260219573974609375%,0.47,17
139,2021-01-09,ruri38@sina.com,壁纸-愤怒的小鸟,17,2,0.90,11.7599999999999997868371792719699442386627197265625%,0.45,2
140,2021-01-09,ruri38@sina.com,壁纸-二次元动漫,2863,251,117.15,8.769999999999999573674358543939888477325439453125%,0.47,46
141,2021-01-09,ruri38@sina.com,壁纸-明日方舟,972,8,3.74,0.81999999999999995115018691649311222136020660400390625%,0.47,3
142,2021-01-09,ruri38@sina.com,壁纸-哈利波特,15,2,0.81,13.3300000000000000710542735760100185871124267578125%,0.41,2
143,2021-01-09,ruri38@sina.com,壁纸-插画,275,5,2.25,1.8200000000000000621724893790087662637233734130859375%,0.45,3
144,2021-01-09,ruri38@sina.com,壁纸-海贼王,1851,157,73.45,8.480000000000000426325641456060111522674560546875%,0.47,31
145,2021-01-09,ruri38@sina.com,壁纸-高达壁纸,143,9,4.05,6.29000000000000003552713678800500929355621337890625%,0.45,6
146,2021-01-09,ruri38@sina.com,公司软件-动态壁纸1,3365,570,282.85,16.940000000000001278976924368180334568023681640625%,0.50,32
147,2021-01-09,ruri38@sina.com,公司软件-壁纸-动漫,2454,270,124.53,11%,0.46,29
148,2021-01-09,ruri38@sina.com,壁纸-男生壁纸,29,4,1.82,13.78999999999999914734871708787977695465087890625%,0.46,3
149,2021-01-09,ruri38@sina.com,壁纸-JOJO,116,9,4.05,7.7599999999999997868371792719699442386627197265625%,0.45,3
150,2021-01-09,ruri38@sina.com,壁纸-鼠标,964,116,50.65,12.0299999999999993605115378159098327159881591796875%,0.44,22
151,2021-01-09,ruri38@sina.com,公司软件-壁纸-英雄联盟,721,59,26.91,8.17999999999999971578290569595992565155029296875%,0.46,19
152,2021-01-09,ruri38@sina.com,壁纸-简约,600,88,39.60,14.6699999999999999289457264239899814128875732421875%,0.45,5
153,2021-01-09,ruri38@sina.com,壁纸-紫罗兰永恒花园,66,3,1.35,4.54999999999999982236431605997495353221893310546875%,0.45,2
154,2021-01-09,ruri38@sina.com,壁纸-初音未来,106,6,2.70,5.660000000000000142108547152020037174224853515625%,0.45,4
155,2021-01-09,ruri38@sina.com,公司软件-动态壁纸,2093,722,316.53,34.5%,0.44,3
156,2021-01-09,ruri38@sina.com,壁纸-灌篮高手,62,9,4.05,14.519999999999999573674358543939888477325439453125%,0.45,6
157,2021-01-09,ruri38@sina.com,壁纸-锁屏壁纸,1361,83,38.83,6.0999999999999996447286321199499070644378662109375%,0.47,14
158,2021-01-09,ruri38@sina.com,壁纸-城市,9,2,0.90,22.219999999999998863131622783839702606201171875%,0.45,2
159,2021-01-09,ruri38@sina.com,壁纸-汽车,131,15,6.75,11.449999999999999289457264239899814128875732421875%,0.45,11
160,2021-01-09,ruri38@sina.com,壁纸-EVA,21,3,1.35,14.28999999999999914734871708787977695465087890625%,0.45,1
161,2021-01-09,ruri38@sina.com,公司软件-壁纸软件7,3006,437,202.99,14.53999999999999914734871708787977695465087890625%,0.46,41
162,2021-01-09,ruri38@sina.com,壁纸-蜡笔小新,216,11,4.95,5.089999999999999857891452847979962825775146484375%,0.45,3
163,2021-01-09,ruri38@sina.com,壁纸-绿色护眼,57,11,4.95,19.300000000000000710542735760100185871124267578125%,0.45,8
164,2021-01-09,ruri38@sina.com,壁纸-魔道祖师,39,1,0.45,2.560000000000000053290705182007513940334320068359375%,0.45,1
165,2021-01-09,ruri38@sina.com,公司软件-桌面壁纸4,9176,1422,664.12,15.5%,0.47,32
166,2021-01-09,ruri38@sina.com,壁纸-狗狗,37,1,0.45,2.70000000000000017763568394002504646778106689453125%,0.45,1
167,2021-01-09,ruri38@sina.com,壁纸-天气之子,247,16,7.30,6.480000000000000426325641456060111522674560546875%,0.46,4
168,2021-01-09,ruri38@sina.com,壁纸-musedash的壁纸,34,5,2.25,14.71000000000000085265128291212022304534912109375%,0.45,2
169,2021-01-09,ruri38@sina.com,壁纸-美少女战士,96,10,4.50,10.4199999999999999289457264239899814128875732421875%,0.45,4
170,2021-01-09,ruri38@sina.com,壁纸-小黄人,4,1,0.45,25%,0.45,1
171,2021-01-09,ruri38@sina.com,壁纸-自然景观,190,19,8.55,10%,0.45,3
172,2021-01-09,ruri38@sina.com,壁纸-ins风,77,9,4.05,11.6899999999999995026200849679298698902130126953125%,0.45,5
173,2021-01-09,ruri38@sina.com,公司软件-动态桌面8,1192,297,138.79,24.9200000000000017053025658242404460906982421875%,0.47,11
174,2021-01-09,ruri38@sina.com,壁纸-小埋壁纸,2,1,0.45,50%,0.45,1
175,2021-01-09,ruri38@sina.com,壁纸-游戏,84,7,3.29,8.3300000000000000710542735760100185871124267578125%,0.47,3
176,2021-01-09,ruri38@sina.com,壁纸-壁纸少女心,278,22,9.90,7.910000000000000142108547152020037174224853515625%,0.45,7
177,2021-01-09,ruri38@sina.com,壁纸-动态壁纸制作,57,11,4.95,19.300000000000000710542735760100185871124267578125%,0.45,8
178,2021-01-09,ruri38@sina.com,壁纸-唯美,812,78,35.10,9.6099999999999994315658113919198513031005859375%,0.45,6
179,2021-01-09,ruri38@sina.com,壁纸-竞品软件,5402,473,220.23,8.7599999999999997868371792719699442386627197265625%,0.47,43
180,2021-01-09,ruri38@sina.com,公司软件-电脑桌面壁纸10,3415,556,260.46,16.280000000000001136868377216160297393798828125%,0.47,21
181,2021-01-09,ruri38@sina.com,壁纸-大海,30,2,0.90,6.6699999999999999289457264239899814128875732421875%,0.45,2
182,2021-01-09,ruri38@sina.com,壁纸-蕾姆壁纸,111,11,5.11,9.910000000000000142108547152020037174224853515625%,0.46,6
183,2021-01-09,ruri38@sina.com,壁纸-文字,15,3,1.35,20%,0.45,3
184,2021-01-09,ruri38@sina.com,壁纸-时钟,432,38,17.10,8.800000000000000710542735760100185871124267578125%,0.45,20
185,2021-01-09,ruri38@sina.com,壁纸-美食,3,1,0.45,33.3299999999999982946974341757595539093017578125%,0.45,1
186,2021-01-09,ruri38@sina.com,壁纸-CF,44,1,0.45,2.270000000000000017763568394002504646778106689453125%,0.45,1
187,2021-01-09,ruri38@sina.com,壁纸-小清新,200,17,7.65,8.5%,0.45,10
188,2021-01-09,ruri38@sina.com,壁纸-鬼灭之刃,396,31,14.41,7.8300000000000000710542735760100185871124267578125%,0.46,7
189,2021-01-09,ruri38@sina.com,壁纸-锦鲤壁纸,28,3,1.35,10.71000000000000085265128291212022304534912109375%,0.45,3
190,2021-01-09,ruri38@sina.com,壁纸-皮卡丘,68,5,2.25,7.3499999999999996447286321199499070644378662109375%,0.45,3
191,2021-01-09,ruri38@sina.com,壁纸-科幻,41,1,0.45,2.439999999999999946709294817992486059665679931640625%,0.45,1
192,2021-01-09,ruri38@sina.com,壁纸-龙猫壁纸,57,3,1.35,5.2599999999999997868371792719699442386627197265625%,0.45,3
193,2021-01-09,ruri38@sina.com,壁纸-你的名字,562,25,11.53,4.45000000000000017763568394002504646778106689453125%,0.46,8
194,2021-01-09,ruri38@sina.com,壁纸-屏保,1282,44,19.38,3.430000000000000159872115546022541821002960205078125%,0.44,14
195,2021-01-09,ruri38@sina.com,壁纸-斗罗大陆,3,1,0.45,33.3299999999999982946974341757595539093017578125%,0.45,1
196,2021-01-09,ruri38@sina.com,壁纸-02壁纸,466,20,9.32,4.29000000000000003552713678800500929355621337890625%,0.47,8
197,2021-01-09,ruri38@sina.com,壁纸-只狼壁纸,22,3,1.35,13.6400000000000005684341886080801486968994140625%,0.45,2
198,2021-01-09,ruri38@sina.com,公司软件-电脑桌面9,1104,106,48.73,9.5999999999999996447286321199499070644378662109375%,0.46,3
199,2021-01-09,ruri38@sina.com,壁纸-fate,121,10,4.68,8.2599999999999997868371792719699442386627197265625%,0.47,7
200,2021-01-09,ruri38@sina.com,壁纸-DNF壁纸,130,13,5.85,10%,0.45,4
201,2021-01-09,ruri38@sina.com,壁纸-银魂,14,1,0.45,7.13999999999999968025576890795491635799407958984375%,0.45,1
202,2021-01-09,ruri38@sina.com,壁纸-文艺,41,3,1.35,7.32000000000000028421709430404007434844970703125%,0.45,3
203,2021-01-09,ruri38@sina.com,壁纸-天官赐福壁纸,216,14,6.30,6.480000000000000426325641456060111522674560546875%,0.45,7
204,2021-01-09,ruri38@sina.com,壁纸-花,7,1,0.45,14.28999999999999914734871708787977695465087890625%,0.45,1
205,2021-01-09,ruri38@sina.com,壁纸-爱情,31,4,1.80,12.9000000000000003552713678800500929355621337890625%,0.45,3
206,2021-01-09,ruri38@sina.com,公司软件-电脑壁纸3,15539,2529,1164.75,16.280000000000001136868377216160297393798828125%,0.46,63
207,2021-01-09,ruri38@sina.com,壁纸-4K,2399,329,153.63,13.71000000000000085265128291212022304534912109375%,0.47,23
208,2021-01-09,ruri38@sina.com,壁纸-奥特曼,149,8,3.60,5.37000000000000010658141036401502788066864013671875%,0.45,4
209,2021-01-08,ruri38@sina.com,壁纸-阿狸,56,3,1.35,5.36000000000000031974423109204508364200592041015625%,0.45,2
210,2021-01-08,ruri38@sina.com,壁纸-古风壁纸,220,12,5.54,5.45000000000000017763568394002504646778106689453125%,0.46,4
211,2021-01-08,ruri38@sina.com,壁纸-天行九歌壁纸,67,5,2.25,7.45999999999999996447286321199499070644378662109375%,0.45,4
212,2021-01-08,ruri38@sina.com,壁纸-篮球,349,25,11.09,7.160000000000000142108547152020037174224853515625%,0.44,9
213,2021-01-08,ruri38@sina.com,壁纸-搞怪搞笑,88,7,3.15,7.95000000000000017763568394002504646778106689453125%,0.45,5
214,2021-01-08,ruri38@sina.com,壁纸-一人之下壁纸,9,1,0.45,11.1099999999999994315658113919198513031005859375%,0.45,1
215,2021-01-08,ruri38@sina.com,壁纸-王者,537,19,8.85,3.54000000000000003552713678800500929355621337890625%,0.47,4
216,2021-01-08,ruri38@sina.com,壁纸-灵魂莲华,14,2,0.90,14.28999999999999914734871708787977695465087890625%,0.45,1
217,2021-01-08,ruri38@sina.com,壁纸-夏目友人帐,89,2,0.90,2.25%,0.45,2
218,2021-01-08,ruri38@sina.com,壁纸-路人女主养成方法,130,3,1.26,2.310000000000000053290705182007513940334320068359375%,0.42,3
219,2021-01-08,ruri38@sina.com,壁纸-刺客伍六七,14,4,1.80,28.57000000000000028421709430404007434844970703125%,0.45,1
220,2021-01-08,ruri38@sina.com,壁纸-七龙珠壁纸,528,6,2.70,1.1399999999999999023003738329862244427204132080078125%,0.45,2
221,2021-01-08,ruri38@sina.com,公司软件-壁纸-美女,745,40,18.36,5.37000000000000010658141036401502788066864013671875%,0.46,7
