编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
55,2020-12-30,ruri38@sina.com,壁纸-C罗壁纸,45,1,0.45,2.22%,0.45,1
56,2020-12-30,ruri38@sina.com,壁纸-CF,31,2,0.90,6.45%,0.45,1
57,2020-12-30,ruri38@sina.com,壁纸-DNF壁纸,188,18,8.10,9.57%,0.45,4
58,2020-12-30,ruri38@sina.com,壁纸-壁纸少女心,255,21,9.45,8.24%,0.45,8
59,2020-12-30,ruri38@sina.com,壁纸-你的名字,405,27,12.49,6.67%,0.46,6
60,2020-12-30,ruri38@sina.com,壁纸-小清新,165,16,7.20,9.70%,0.45,7
61,2020-12-30,ruri38@sina.com,壁纸-4K,2617,330,153.64,12.61%,0.47,23
62,2020-12-30,ruri38@sina.com,壁纸-fate,108,9,4.21,8.33%,0.47,5
63,2020-12-30,ruri38@sina.com,壁纸-碧蓝航线,34,1,0.47,2.94%,0.47,1
64,2020-12-30,ruri38@sina.com,壁纸-王者,658,30,14.00,4.56%,0.47,4
65,2020-12-30,ruri38@sina.com,壁纸-漫威,341,11,5.15,3.23%,0.47,6
66,2020-12-30,ruri38@sina.com,壁纸-卡通壁纸,90,10,4.50,11.11%,0.45,3
67,2020-12-30,ruri38@sina.com,壁纸-明日方舟,722,6,2.80,0.83%,0.47,3
68,2020-12-30,ruri38@sina.com,壁纸-win壁纸,763,91,42.39,11.93%,0.47,34
69,2020-12-30,ruri38@sina.com,壁纸-简约,704,152,68.40,21.59%,0.45,6
70,2020-12-30,ruri38@sina.com,壁纸-男生壁纸,17,5,2.35,29.41%,0.47,4
71,2020-12-30,ruri38@sina.com,壁纸-绿色护眼,125,10,4.50,8.00%,0.45,7
72,2020-12-30,ruri38@sina.com,壁纸-锁屏壁纸,1814,89,41.49,4.91%,0.47,22
73,2020-12-30,ruri38@sina.com,壁纸-星空,727,58,26.10,7.98%,0.45,14
74,2020-12-30,ruri38@sina.com,壁纸-火影,990,90,42.08,9.09%,0.47,12
75,2020-12-30,ruri38@sina.com,壁纸-阿丽塔壁纸,4,2,0.90,50.00%,0.45,2
76,2020-12-30,ruri38@sina.com,壁纸-海贼王,1385,176,82.26,12.71%,0.47,26
77,2020-12-30,ruri38@sina.com,壁纸-ins风,44,9,4.05,20.45%,0.45,6
78,2020-12-30,ruri38@sina.com,壁纸-魔道祖师,83,3,1.35,3.61%,0.45,3
79,2020-12-30,ruri38@sina.com,壁纸-二次元动漫,2714,279,130.36,10.28%,0.47,44
80,2020-12-30,ruri38@sina.com,壁纸-初音未来,108,6,2.70,5.56%,0.45,5
81,2020-12-30,ruri38@sina.com,壁纸-动物,31,3,1.35,9.68%,0.45,3
82,2020-12-30,ruri38@sina.com,壁纸-行业词,24674,2868,1375.20,11.62%,0.48,118
83,2020-12-30,ruri38@sina.com,公司软件-动态桌面8,1505,369,172.85,24.52%,0.47,8
84,2020-12-30,ruri38@sina.com,公司软件-动态壁纸1,4123,649,320.68,15.74%,0.49,31
85,2020-12-30,ruri38@sina.com,公司软件-高清壁纸5,7335,1235,577.45,16.84%,0.47,18
86,2020-12-30,ruri38@sina.com,壁纸-只狼壁纸,15,3,1.35,20.00%,0.45,1
87,2020-12-30,ruri38@sina.com,壁纸-一人之下壁纸,2,2,0.90,100.00%,0.45,1
88,2020-12-30,ruri38@sina.com,壁纸-桌面整理,1007,50,22.91,4.97%,0.46,13
89,2020-12-30,ruri38@sina.com,公司软件-电脑桌面9,1391,128,58.67,9.20%,0.46,3
90,2020-12-30,ruri38@sina.com,公司软件-桌面壁纸4,11153,1517,708.58,13.60%,0.47,34
91,2020-12-30,ruri38@sina.com,公司软件-壁纸软件7,2829,427,198.45,15.09%,0.46,32
92,2020-12-30,ruri38@sina.com,公司软件-电脑桌面壁纸10,4840,670,313.94,13.84%,0.47,17
93,2020-12-30,ruri38@sina.com,壁纸-鼠标,635,80,35.25,12.60%,0.44,23
94,2020-12-30,ruri38@sina.com,公司软件-电脑壁纸3,16492,2244,1035.79,13.61%,0.46,55
95,2020-12-30,ruri38@sina.com,公司软件-壁纸-美女,780,56,25.78,7.18%,0.46,8
96,2020-12-30,ruri38@sina.com,公司软件-壁纸-英雄联盟,580,52,23.43,8.97%,0.45,19
97,2020-12-30,ruri38@sina.com,公司软件-壁纸-动漫,2744,298,135.92,10.86%,0.46,26
98,2020-12-30,ruri38@sina.com,壁纸-小黄人,26,2,0.90,7.69%,0.45,2
99,2020-12-30,ruri38@sina.com,壁纸-哪吒壁纸,2,1,0.45,50.00%,0.45,1
100,2020-12-30,ruri38@sina.com,壁纸-路人女主养成方法,71,3,1.35,4.23%,0.45,3
101,2020-12-30,ruri38@sina.com,壁纸-搞怪搞笑,37,5,2.25,13.51%,0.45,4
102,2020-12-30,ruri38@sina.com,壁纸-爱情,37,8,3.60,21.62%,0.45,5
103,2020-12-30,ruri38@sina.com,壁纸-锦鲤壁纸,45,2,0.90,4.44%,0.45,2
104,2020-12-30,ruri38@sina.com,公司软件-动态壁纸,3462,1345,591.84,38.85%,0.44,3
