编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
55,2021-01-10,liubaoxin@cmcm.com,第三方软件-foxmail,672,41,19.61,6.0999999999999996447286321199499070644378662109375%,0.48,7
56,2021-01-10,liubaoxin@cmcm.com,公司软件-C盘瘦身,2429,124,55.51,5.0999999999999996447286321199499070644378662109375%,0.45,50
57,2021-01-10,liubaoxin@cmcm.com,第三方软件-PDF,2610,131,72.37,5.019999999999999573674358543939888477325439453125%,0.55,26
58,2021-01-10,liubaoxin@cmcm.com,第三方软件-WPS-ppt,1244,303,136.17,24.3599999999999994315658113919198513031005859375%,0.45,23
59,2021-01-10,liubaoxin@cmcm.com,第三方软件-CAJViewer,2496,189,89.43,7.57000000000000028421709430404007434844970703125%,0.47,23
60,2021-01-10,liubaoxin@cmcm.com,第三方软件-QQ,12159,454,228.81,3.729999999999999982236431605997495353221893310546875%,0.50,59
61,2021-01-10,liubaoxin@cmcm.com,第三方软件-爱剪辑,725,159,71.55,21.92999999999999971578290569595992565155029296875%,0.45,15
62,2021-01-10,liubaoxin@cmcm.com,第三方软件-桌面日历,47,12,5.40,25.530000000000001136868377216160297393798828125%,0.45,5
63,2021-01-10,liubaoxin@cmcm.com,第三方软件-泡泡加速器,413,87,39.15,21.07000000000000028421709430404007434844970703125%,0.45,4
64,2021-01-10,liubaoxin@cmcm.com,第三方软件-Notepad,750,71,31.95,9.4700000000000006394884621840901672840118408203125%,0.45,4
65,2021-01-10,liubaoxin@cmcm.com,第三方软件-whatsapp,11,4,1.80,36.3599999999999994315658113919198513031005859375%,0.45,2
66,2021-01-10,liubaoxin@cmcm.com,第三方软件-新微信PC版,82701,12458,8608.57,15.0600000000000004973799150320701301097869873046875%,0.69,100
67,2021-01-10,liubaoxin@cmcm.com,第三方软件-Origin,1644,165,74.25,10.03999999999999914734871708787977695465087890625%,0.45,3
68,2021-01-10,liubaoxin@cmcm.com,第三方软件-酷狗音乐,14222,935,453.99,6.57000000000000028421709430404007434844970703125%,0.49,36
69,2021-01-10,liubaoxin@cmcm.com,第三方软件-Microsoft Visio,564,32,14.40,5.6699999999999999289457264239899814128875732421875%,0.45,16
70,2021-01-10,liubaoxin@cmcm.com,第三方软件-Everything,1081,46,20.70,4.2599999999999997868371792719699442386627197265625%,0.45,4
71,2021-01-10,liubaoxin@cmcm.com,第三方软件-WIFI共享大师,1568,81,37.52,5.1699999999999999289457264239899814128875732421875%,0.46,23
72,2021-01-10,liubaoxin@cmcm.com,第三方软件-香肠派对,304,44,19.80,14.4700000000000006394884621840901672840118408203125%,0.45,3
73,2021-01-10,liubaoxin@cmcm.com,第三方软件-Adobe Reader,450,83,37.58,18.440000000000001278976924368180334568023681640625%,0.45,8
74,2021-01-10,liubaoxin@cmcm.com,第三方软件-QQ浏览器,4752,223,113.61,4.69000000000000039079850466805510222911834716796875%,0.51,14
75,2021-01-10,liubaoxin@cmcm.com,第三方软件-极点五笔输入法,340,61,28.33,17.940000000000001278976924368180334568023681640625%,0.46,7
76,2021-01-10,liubaoxin@cmcm.com,第三方软件-直播云,327,28,12.60,8.5600000000000004973799150320701301097869873046875%,0.45,5
77,2021-01-10,liubaoxin@cmcm.com,第三方软件-讯飞输入法,651,9,4.05,1.37999999999999989341858963598497211933135986328125%,0.45,3
78,2021-01-10,liubaoxin@cmcm.com,第三方软件-企业微信,2573,118,59.32,4.589999999999999857891452847979962825775146484375%,0.50,10
79,2021-01-10,liubaoxin@cmcm.com,第三方软件-KMPlayer,342,35,15.75,10.230000000000000426325641456060111522674560546875%,0.45,3
80,2021-01-10,liubaoxin@cmcm.com,第三方软件-photoshopcs6,7702,753,366.03,9.7799999999999993605115378159098327159881591796875%,0.49,82
81,2021-01-10,liubaoxin@cmcm.com,第三方软件-cctalk,790,27,12.15,3.4199999999999999289457264239899814128875732421875%,0.45,8
82,2021-01-10,liubaoxin@cmcm.com,第三方软件-classin,1726,245,110.25,14.1899999999999995026200849679298698902130126953125%,0.45,16
83,2021-01-10,liubaoxin@cmcm.com,第三方软件-腾讯会议,2433,15,6.77,0.61999999999999999555910790149937383830547332763671875%,0.45,7
84,2021-01-10,liubaoxin@cmcm.com,第三方软件-FlashPlayer,6275,927,417.73,14.769999999999999573674358543939888477325439453125%,0.45,39
85,2021-01-10,liubaoxin@cmcm.com,第三方软件-飞信,28,4,2.00,14.28999999999999914734871708787977695465087890625%,0.50,2
86,2021-01-10,liubaoxin@cmcm.com,第三方软件-腾讯视频,5305,59,26.55,1.1100000000000000976996261670137755572795867919921875%,0.45,14
87,2021-01-10,liubaoxin@cmcm.com,第三方软件-迷你世界,10303,1790,805.50,17.370000000000000994759830064140260219573974609375%,0.45,38
88,2021-01-10,liubaoxin@cmcm.com,第三方软件-钉钉电脑版,26657,5019,2898.38,18.8299999999999982946974341757595539093017578125%,0.58,63
89,2021-01-10,liubaoxin@cmcm.com,第三方软件-QQ拼音,1808,29,13.89,1.600000000000000088817841970012523233890533447265625%,0.48,5
90,2021-01-10,liubaoxin@cmcm.com,第三方软件-网易邮箱大师,1185,85,38.10,7.1699999999999999289457264239899814128875732421875%,0.45,14
91,2021-01-10,liubaoxin@cmcm.com,第三方软件-IE浏览器,9933,436,200.38,4.38999999999999968025576890795491635799407958984375%,0.46,10
92,2021-01-10,liubaoxin@cmcm.com,第三方软件-光影魔术手,703,80,43.24,11.3800000000000007815970093361102044582366943359375%,0.54,9
93,2021-01-10,liubaoxin@cmcm.com,第三方软件-AxureRp,35,1,0.45,2.859999999999999875655021241982467472553253173828125%,0.45,1
94,2021-01-10,liubaoxin@cmcm.com,第三方软件-火狐浏览器,6141,722,388.71,11.7599999999999997868371792719699442386627197265625%,0.54,25
95,2021-01-10,liubaoxin@cmcm.com,第三方软件-teamviewer,2207,91,42.11,4.12000000000000010658141036401502788066864013671875%,0.46,11
96,2021-01-10,liubaoxin@cmcm.com,第三方软件-瞩目,3188,180,81.00,5.6500000000000003552713678800500929355621337890625%,0.45,25
97,2021-01-10,liubaoxin@cmcm.com,第三方软件-快剪辑,434,165,74.25,38.02000000000000312638803734444081783294677734375%,0.45,9
98,2021-01-10,liubaoxin@cmcm.com,第三方软件-QQ五笔,236,15,6.75,6.36000000000000031974423109204508364200592041015625%,0.45,3
99,2021-01-09,liubaoxin@cmcm.com,第三方软件-向日葵,7796,1481,761.55,19%,0.51,13
100,2021-01-09,liubaoxin@cmcm.com,第三方软件-我的世界,3961,906,407.70,22.870000000000000994759830064140260219573974609375%,0.45,27
101,2021-01-09,liubaoxin@cmcm.com,第三方软件-QQ音乐,249,9,4.05,3.609999999999999875655021241982467472553253173828125%,0.45,5
102,2021-01-09,liubaoxin@cmcm.com,公司软件-金山打字通,1203,200,104.40,16.629999999999999005240169935859739780426025390625%,0.52,24
103,2021-01-09,liubaoxin@cmcm.com,公司软件-猎豹浏览器,8049,469,210.75,5.8300000000000000710542735760100185871124267578125%,0.45,36
104,2021-01-09,liubaoxin@cmcm.com,第三方软件-飞信,34,2,1.00,5.87999999999999989341858963598497211933135986328125%,0.50,1
105,2021-01-09,liubaoxin@cmcm.com,第三方软件-网易云音乐,43157,1042,499.63,2.410000000000000142108547152020037174224853515625%,0.48,18
106,2021-01-09,liubaoxin@cmcm.com,第三方软件-美图秀秀,7808,246,110.70,3.149999999999999911182158029987476766109466552734375%,0.45,7
107,2021-01-09,liubaoxin@cmcm.com,第三方软件-韩语输入法,92,7,3.15,7.61000000000000031974423109204508364200592041015625%,0.45,4
108,2021-01-09,liubaoxin@cmcm.com,第三方软件-WPS-word,8919,1030,463.12,11.550000000000000710542735760100185871124267578125%,0.45,70
109,2021-01-09,liubaoxin@cmcm.com,第三方软件-xmind,841,189,96.66,22.469999999999998863131622783839702606201171875%,0.51,10
110,2021-01-09,liubaoxin@cmcm.com,第三方软件-狸窝全能视频转换器,67,16,7.36,23.879999999999999005240169935859739780426025390625%,0.46,4
111,2021-01-09,liubaoxin@cmcm.com,第三方软件-Microsoft,1369,22,9.90,1.6100000000000000976996261670137755572795867919921875%,0.45,6
112,2021-01-09,liubaoxin@cmcm.com,第三方软件-迷你世界,12086,2246,1010.70,18.5799999999999982946974341757595539093017578125%,0.45,42
113,2021-01-09,liubaoxin@cmcm.com,第三方软件-驱动精灵,18381,2463,1419.43,13.4000000000000003552713678800500929355621337890625%,0.58,23
114,2021-01-09,liubaoxin@cmcm.com,第三方软件-zoom视频会议,143,42,18.90,29.370000000000000994759830064140260219573974609375%,0.45,8
115,2021-01-09,liubaoxin@cmcm.com,第三方软件-逍遥笔手写输入法,412,57,31.00,13.8300000000000000710542735760100185871124267578125%,0.54,8
116,2021-01-09,liubaoxin@cmcm.com,第三方软件-极品五笔输入法,768,117,55.19,15.230000000000000426325641456060111522674560546875%,0.47,17
117,2021-01-09,liubaoxin@cmcm.com,第三方软件-welink,32,9,4.29,28.129999999999999005240169935859739780426025390625%,0.48,2
118,2021-01-09,liubaoxin@cmcm.com,第三方软件-拳皇,1290,224,100.28,17.3599999999999994315658113919198513031005859375%,0.45,19
119,2021-01-09,liubaoxin@cmcm.com,第三方软件-完美解码,594,10,4.50,1.6799999999999999378275106209912337362766265869140625%,0.45,3
120,2021-01-09,liubaoxin@cmcm.com,第三方软件-讯飞输入法,769,25,11.25,3.25%,0.45,3
121,2021-01-09,liubaoxin@cmcm.com,第三方软件-暴风影音,3421,577,265.88,16.870000000000000994759830064140260219573974609375%,0.46,16
122,2021-01-09,liubaoxin@cmcm.com,第三方软件-WPS2019,281,50,22.50,17.78999999999999914734871708787977695465087890625%,0.45,4
123,2021-01-09,liubaoxin@cmcm.com,第三方软件-部落冲突,56,6,2.85,10.71000000000000085265128291212022304534912109375%,0.48,3
124,2021-01-09,liubaoxin@cmcm.com,第三方软件-QQ影音,2132,58,26.46,2.720000000000000195399252334027551114559173583984375%,0.46,7
125,2021-01-09,liubaoxin@cmcm.com,第三方软件-和平精英,210,32,14.40,15.2400000000000002131628207280300557613372802734375%,0.45,8
126,2021-01-09,liubaoxin@cmcm.com,第三方软件-阿里旺旺,2999,317,153.38,10.57000000000000028421709430404007434844970703125%,0.48,20
127,2021-01-09,liubaoxin@cmcm.com,第三方软件-WPS,25182,4635,2591.89,18.410000000000000142108547152020037174224853515625%,0.56,125
128,2021-01-09,liubaoxin@cmcm.com,第三方软件-微师客户端,1265,162,73.64,12.8100000000000004973799150320701301097869873046875%,0.45,20
129,2021-01-09,liubaoxin@cmcm.com,第三方软件-WIFI共享大师,1881,105,49.45,5.5800000000000000710542735760100185871124267578125%,0.47,25
130,2021-01-09,liubaoxin@cmcm.com,第三方软件-全民K歌,4063,740,329.22,18.21000000000000085265128291212022304534912109375%,0.44,15
131,2021-01-09,liubaoxin@cmcm.com,第三方软件-洋葱教学,701,71,31.95,10.1300000000000007815970093361102044582366943359375%,0.45,5
132,2021-01-09,liubaoxin@cmcm.com,第三方软件-万能五笔,7436,1402,760.96,18.85000000000000142108547152020037174224853515625%,0.54,64
133,2021-01-09,liubaoxin@cmcm.com,第三方软件-网盘,6989,77,36.75,1.100000000000000088817841970012523233890533447265625%,0.48,9
134,2021-01-09,liubaoxin@cmcm.com,第三方软件-AutoCAD,289,37,16.65,12.800000000000000710542735760100185871124267578125%,0.45,21
135,2021-01-09,liubaoxin@cmcm.com,第三方软件-智能ABC,48,2,0.90,4.1699999999999999289457264239899814128875732421875%,0.45,1
136,2021-01-09,liubaoxin@cmcm.com,第三方软件-itunes,1007,32,14.40,3.180000000000000159872115546022541821002960205078125%,0.45,8
137,2021-01-09,liubaoxin@cmcm.com,第三方软件-猿辅导,1056,289,132.63,27.370000000000000994759830064140260219573974609375%,0.46,15
138,2021-01-09,liubaoxin@cmcm.com,第三方软件-学而思,23,1,0.45,4.3499999999999996447286321199499070644378662109375%,0.45,1
139,2021-01-09,liubaoxin@cmcm.com,毒霸-杀软,667,22,9.68,3.29999999999999982236431605997495353221893310546875%,0.44,8
140,2021-01-09,liubaoxin@cmcm.com,第三方软件-猎豹免费WIFI,1567,55,28.46,3.5099999999999997868371792719699442386627197265625%,0.52,10
141,2021-01-09,liubaoxin@cmcm.com,第三方软件-cad快速看图,1810,221,120.67,12.21000000000000085265128291212022304534912109375%,0.55,18
142,2021-01-09,liubaoxin@cmcm.com,第三方软件-王者荣耀PC版,9410,265,119.25,2.819999999999999840127884453977458178997039794921875%,0.45,10
143,2021-01-09,liubaoxin@cmcm.com,第三方软件-谷歌浏览器,22562,1774,1060.62,7.86000000000000031974423109204508364200592041015625%,0.60,68
144,2021-01-09,liubaoxin@cmcm.com,第三方软件-比特精灵,281,18,8.10,6.410000000000000142108547152020037174224853515625%,0.45,2
145,2021-01-09,liubaoxin@cmcm.com,第三方软件-小鱼易连,593,137,67.35,23.10000000000000142108547152020037174224853515625%,0.49,9
146,2021-01-09,liubaoxin@cmcm.com,第三方软件-千牛,2922,717,335.27,24.53999999999999914734871708787977695465087890625%,0.47,32
147,2021-01-09,liubaoxin@cmcm.com,第三方软件-rar解压软件,16929,1245,649.06,7.3499999999999996447286321199499070644378662109375%,0.52,101
148,2021-01-09,liubaoxin@cmcm.com,第三方软件-分区助手,1320,59,26.15,4.46999999999999975131004248396493494510650634765625%,0.44,5
149,2021-01-09,liubaoxin@cmcm.com,第三方软件-CAJViewer,2163,243,117.84,11.230000000000000426325641456060111522674560546875%,0.48,23
150,2021-01-09,liubaoxin@cmcm.com,第三方软件-Origin,1794,171,76.95,9.5299999999999993605115378159098327159881591796875%,0.45,4
151,2021-01-09,liubaoxin@cmcm.com,第三方软件-QQ,11253,425,213.31,3.779999999999999804600747665972448885440826416015625%,0.50,58
152,2021-01-09,liubaoxin@cmcm.com,第三方软件-EV录屏,11,1,0.49,9.089999999999999857891452847979962825775146484375%,0.49,1
153,2021-01-09,liubaoxin@cmcm.com,第三方软件-爱剪辑,807,116,52.20,14.3699999999999992184029906638897955417633056640625%,0.45,15
154,2021-01-09,liubaoxin@cmcm.com,第三方软件-MindManager,34,1,0.45,2.939999999999999946709294817992486059665679931640625%,0.45,1
155,2021-01-09,liubaoxin@cmcm.com,第三方软件-新微信PC版,86777,12817,8827.09,14.769999999999999573674358543939888477325439453125%,0.69,102
156,2021-01-09,liubaoxin@cmcm.com,第三方软件-WPS-ppt,1319,317,142.47,24.030000000000001136868377216160297393798828125%,0.45,21
157,2021-01-09,liubaoxin@cmcm.com,第三方软件-雷电模拟器,5851,1083,486.81,18.510000000000001563194018672220408916473388671875%,0.45,12
158,2021-01-09,liubaoxin@cmcm.com,第三方软件-泡泡加速器,459,80,36.00,17.42999999999999971578290569595992565155029296875%,0.45,4
159,2021-01-09,liubaoxin@cmcm.com,公司软件-C盘瘦身,2597,165,73.93,6.3499999999999996447286321199499070644378662109375%,0.45,63
160,2021-01-09,liubaoxin@cmcm.com,第三方软件-PDF,3262,156,82.88,4.78000000000000024868995751603506505489349365234375%,0.53,31
161,2021-01-09,liubaoxin@cmcm.com,第三方软件-Microsoft Visio,1023,43,19.35,4.20000000000000017763568394002504646778106689453125%,0.45,16
162,2021-01-09,liubaoxin@cmcm.com,第三方软件-桌面日历,54,5,2.25,9.2599999999999997868371792719699442386627197265625%,0.45,3
163,2021-01-09,liubaoxin@cmcm.com,第三方软件-新酷我音乐,3904,636,310.90,16.28999999999999914734871708787977695465087890625%,0.49,13
164,2021-01-09,liubaoxin@cmcm.com,第三方软件-Notepad,934,89,40.05,9.5299999999999993605115378159098327159881591796875%,0.45,5
165,2021-01-09,liubaoxin@cmcm.com,第三方软件-CorelDRAW,184,19,8.55,10.3300000000000000710542735760100185871124267578125%,0.45,4
166,2021-01-09,liubaoxin@cmcm.com,第三方软件-Everything,865,49,22.05,5.660000000000000142108547152020037174224853515625%,0.45,4
167,2021-01-09,liubaoxin@cmcm.com,第三方软件-酷狗音乐,13927,1002,490.23,7.19000000000000039079850466805510222911834716796875%,0.49,28
168,2021-01-09,liubaoxin@cmcm.com,第三方软件-极点五笔输入法,402,73,34.13,18.160000000000000142108547152020037174224853515625%,0.47,9
169,2021-01-09,liubaoxin@cmcm.com,第三方软件-腾讯会议,6908,24,10.90,0.34999999999999997779553950749686919152736663818359375%,0.45,9
170,2021-01-09,liubaoxin@cmcm.com,第三方软件-cctalk,812,43,19.35,5.29999999999999982236431605997495353221893310546875%,0.45,7
171,2021-01-09,liubaoxin@cmcm.com,第三方软件-photoshopcs6,8497,797,386.71,9.3800000000000007815970093361102044582366943359375%,0.49,90
172,2021-01-09,liubaoxin@cmcm.com,第三方软件-KMPlayer,311,30,13.50,9.6500000000000003552713678800500929355621337890625%,0.45,3
173,2021-01-09,liubaoxin@cmcm.com,第三方软件-拼音输入法,5000,270,121.14,5.4000000000000003552713678800500929355621337890625%,0.45,21
174,2021-01-09,liubaoxin@cmcm.com,第三方软件-Adobe Reader,612,113,51.39,18.46000000000000085265128291212022304534912109375%,0.45,11
175,2021-01-09,liubaoxin@cmcm.com,第三方软件-PDF-竞品,558,6,2.70,1.0800000000000000710542735760100185871124267578125%,0.45,5
176,2021-01-09,liubaoxin@cmcm.com,第三方软件-classin,2313,303,136.35,13.0999999999999996447286321199499070644378662109375%,0.45,16
177,2021-01-09,liubaoxin@cmcm.com,第三方软件-网易邮箱大师,1367,96,43.20,7.019999999999999573674358543939888477325439453125%,0.45,16
178,2021-01-09,liubaoxin@cmcm.com,第三方软件-QQ拼音,1928,37,17.73,1.9199999999999999289457264239899814128875732421875%,0.48,8
179,2021-01-09,liubaoxin@cmcm.com,第三方软件-QQ浏览器,5369,238,119.99,4.42999999999999971578290569595992565155029296875%,0.50,15
180,2021-01-09,liubaoxin@cmcm.com,第三方软件-香肠派对,337,51,22.95,15.1300000000000007815970093361102044582366943359375%,0.45,3
181,2021-01-09,liubaoxin@cmcm.com,第三方软件-FlashPlayer,7107,1081,486.63,15.21000000000000085265128291212022304534912109375%,0.45,38
182,2021-01-09,liubaoxin@cmcm.com,第三方软件-腾讯视频,704,44,19.80,6.25%,0.45,13
183,2021-01-09,liubaoxin@cmcm.com,第三方软件-钉钉电脑版,22559,3700,2121.04,16.39999999999999857891452847979962825775146484375%,0.57,61
184,2021-01-09,liubaoxin@cmcm.com,第三方软件-直播云,235,33,14.85,14.03999999999999914734871708787977695465087890625%,0.45,6
185,2021-01-09,liubaoxin@cmcm.com,第三方软件-QQ五笔,315,10,4.50,3.1699999999999999289457264239899814128875732421875%,0.45,6
186,2021-01-09,liubaoxin@cmcm.com,第三方软件-快剪辑,541,193,86.85,35.6700000000000017053025658242404460906982421875%,0.45,8
187,2021-01-09,liubaoxin@cmcm.com,第三方软件-AxureRp,29,2,0.90,6.9000000000000003552713678800500929355621337890625%,0.45,1
188,2021-01-09,liubaoxin@cmcm.com,第三方软件-火狐浏览器,4938,771,421.47,15.6099999999999994315658113919198513031005859375%,0.55,24
189,2021-01-09,liubaoxin@cmcm.com,第三方软件-teamviewer,3257,87,40.03,2.6699999999999999289457264239899814128875732421875%,0.46,8
190,2021-01-09,liubaoxin@cmcm.com,第三方软件-瞩目,2495,142,63.90,5.69000000000000039079850466805510222911834716796875%,0.45,19
191,2021-01-09,liubaoxin@cmcm.com,第三方软件-企业微信,2669,120,60.26,4.5%,0.50,10
192,2021-01-09,liubaoxin@cmcm.com,第三方软件-foxmail,1132,78,37.36,6.88999999999999968025576890795491635799407958984375%,0.48,9
193,2021-01-09,liubaoxin@cmcm.com,第三方软件-光影魔术手,1010,130,70.98,12.8699999999999992184029906638897955417633056640625%,0.55,6
194,2021-01-09,liubaoxin@cmcm.com,第三方软件-IE浏览器,10388,435,200.37,4.19000000000000039079850466805510222911834716796875%,0.46,6
195,2021-01-08,liubaoxin@cmcm.com,第三方软件-向日葵,8953,1550,793.50,17.309999999999998721023075631819665431976318359375%,0.51,19
196,2021-01-08,liubaoxin@cmcm.com,第三方软件-我的世界,2238,434,195.30,19.3900000000000005684341886080801486968994140625%,0.45,19
197,2021-01-08,liubaoxin@cmcm.com,第三方软件-QQ音乐,313,10,4.45,3.189999999999999946709294817992486059665679931640625%,0.45,6
